Population,Treatment,TOE,Fv.Fm,Fq.Fm,NPQ,qP,qN,qL,qI,phiNO,phiNPQ,npq.t,ChlIdx,AriIdx,NDVI,Site,Year,Timepoint
A,20%,108,0.7263339381025823,0.30966025445774775,0.7295322932814927,0.6357392132180287,0.580183431057971,0.5079687625378775,0.7350744188220972,0.3063187486324345,0.38443574740224773,4.335379919056635,2.0069923196369976,3.5099912159672124,0.7913229356861485,SCalifornia,2010,Early
A,20%,120,0.7373734827818057,0.27264350095648976,0.7749930013583926,0.5535142044258126,0.5858775710995223,0.435186223146188,0.7758640531937551,0.3293724892137925,0.3981071470986105,4.000810529685775,1.8712132492971576,2.961761290874075,0.7756722639298423,SCalifornia,2010,Early
A,20%,132,0.7633508349650723,0.18103716144354198,0.8695116258014003,0.341605888358446,0.5913556695216222,0.23315663410701276,0.8690127851351745,0.391858533432236,0.4270407680927545,3.178547326270645,1.706022588816795,1.5967977868956176,0.7409277724886715,SCalifornia,2010,Early
A,20%,144,0.775264003498199,0.14733001814361402,0.9567469818624672,0.25660541715365676,0.6008568465365253,0.15418746367858777,0.9465488454673843,0.4076889835952795,0.444779854651484,2.938249200523615,1.6234123190026524,1.1020237890673727,0.7250535578584745,SCalifornia,2010,Early
A,20%,156,0.777078415519742,0.1294767886381623,0.9898937637538827,0.22872569308461144,0.6040454438216772,0.1385681533449014,0.9637598275599475,0.418437180639481,0.45203864512126823,3.22623164298888,1.6692224051200475,1.151011340100448,0.7289728412510142,SCalifornia,2010,Early
A,20%,168,0.7762954831089628,0.1502391409324597,0.9138212110838777,0.2621440706428835,0.5860113502062022,0.15841760875912392,0.9062837839349888,0.41715738685957227,0.4327164227241548,2.8555038417854623,1.6717631212081374,1.138149812118,0.7307981318532748,SCalifornia,2010,Early
A,20%,180,0.7767883784591862,0.14076296654819975,0.7781545084448644,0.24146126152234149,0.5450934177250525,0.13829709476404098,0.7841226756898627,0.454181707273441,0.405358563558038,2.4245365225390874,1.6826301160345,1.1365468138444617,0.732853358261585,SCalifornia,2010,Early
A,20%,192,0.7730914195051093,0.153371077775255,0.9797267963752905,0.2612785399816975,0.5912662285503907,0.15187651028138877,0.963213321735494,0.405588324786219,0.44092980124672854,2.624472620079985,1.6434319276800449,1.067447540986628,0.7300821070786845,SCalifornia,2010,Early
A,20%,204,0.7628714437256757,0.1573037291982619,1.371020841301999,0.2797010145346196,0.658970505114668,0.17760159203608902,1.249818683551649,0.33984164121997373,0.5026746912090345,3.1457073424655024,1.7136547336064925,1.0282856486801866,0.7360912311931083,SCalifornia,2010,Early
A,20%,216,0.7624715221677487,0.1379186702822884,1.523099368909145,0.24971557070257033,0.6691041580612825,0.1613150337406994,1.3167236084779075,0.338678706220532,0.5233509114542937,3.249601082745958,1.7892343995244726,1.0137220018486204,0.742216216118617,SCalifornia,2010,Early
A,20%,228,0.7806732939361762,0.12683388360371536,1.0427516793872402,0.21241251322242874,0.5854891937352963,0.11519933115180621,0.9654398644084665,0.42444504748807327,0.4485895649291155,2.550701065436685,1.72380731019805,1.0022953838129036,0.7365046186066238,SCalifornia,2010,Early
A,20%,240,0.7859420213778955,0.13678483126437,0.989659034756315,0.22597246690210324,0.591422581351321,0.11875486240377488,0.9788150468206851,0.4148374135576175,0.44832160042671876,2.4137573570941324,1.6461718761871449,0.967923098459162,0.7314879294050947,SCalifornia,2010,Early
A,20%,252,0.7859336656052073,0.1136661407290432,1.0643896932891594,0.18383633659827758,0.5817962771719785,0.09171244305888812,1.0237726850490625,0.425740275679548,0.4605927277481695,2.08056428951886,1.6694314166271376,0.9783286356955743,0.735765579104827,SCalifornia,2010,Early
A,20%,264,0.7861871432953152,0.1199658911046035,0.9518156837736718,0.19533444749456924,0.5738629513788245,0.09782410985707532,0.9358288585093667,0.43922663005403123,0.4408692695819505,2.2490890450587475,1.661028548614925,0.9771846964045515,0.735825680908516,SCalifornia,2010,Early
A,20%,276,0.788945664589907,0.11899036410450975,0.8356199381428032,0.1924214857591335,0.5532839053117085,0.09414789810680192,0.8355169857266069,0.4628411654075445,0.4183247607943845,2.22907680592438,1.68591710666334,1.001212334449345,0.73867952577533,SCalifornia,2010,Early
A,20%,288,0.7905988108229725,0.13614083839936175,0.9358991963285805,0.22437131147364375,0.5877141832325643,0.11465688987785735,0.9346465778546408,0.4250510545787025,0.43879484862387724,2.446103095324965,1.65471543797502,0.9812051195309069,0.7367016334662222,SCalifornia,2010,Early
A,20%,300,0.792239000295635,0.129134196635743,0.8764670998149979,0.20755923229421025,0.5647296824647274,0.10066337926370122,0.8747322831622185,0.44529157479255077,0.4255159658037045,2.231533578074805,1.694983651812655,1.0151324556208647,0.7420339534340915,SCalifornia,2010,Early
A,20%,312,0.7898941619702767,0.137213308076961,0.9650492030219024,0.224551546091999,0.5946862621534372,0.11345871570356335,0.9638545907851115,0.41843349417032527,0.4446526950180415,2.47762055896671,1.667845156412915,1.0107118989590154,0.7419969551735834,SCalifornia,2010,Early
A,20%,324,0.7920226724072502,0.13253806020309775,0.9213014496568185,0.2136882873751485,0.5795204363624458,0.10494355600822597,0.92230218307166,0.43304463715611374,0.434641945229325,2.3427076185588978,1.706256590045795,1.0514411052053423,0.746798972434752,SCalifornia,2010,Early
A,20%,336,0.792572921461592,0.1337976885810955,1.0325758386499493,0.2189113593437605,0.6043339951957682,0.11162048435505981,1.0206033478874525,0.40946102407322327,0.45671813793808425,2.4139880383518375,1.72363250111463,1.088125579011805,0.7504022541954143,SCalifornia,2010,Early
A,20%,348,0.796661364312476,0.10818320101569878,1.072990293394221,0.17226864059380703,0.5920137128215914,0.08290928762333508,1.038381939522189,0.4272025145303925,0.46442803853916775,2.098862629835425,1.756741098022145,1.1501866769855,0.7567694442510917,SCalifornia,2010,Early
A,20%,360,0.7951738255721718,0.13013897102289726,1.0295582644433197,0.210230946624471,0.5989237932804883,0.10444571907109035,1.0165036659149758,0.41465168788414375,0.45516645877536277,2.27491791454192,1.721514967176255,1.1420413048409526,0.754535679577327,SCalifornia,2010,Early
A,20%,372,0.8000147912190932,0.12516441971375675,0.900904918794675,0.19721966611872374,0.5684689902032555,0.09211199220273902,0.900503406358386,0.4442247140256935,0.430594680503286,2.0885660296561075,1.7752021974128525,1.1964757322693726,0.759976973622607,SCalifornia,2010,Early
A,20%,384,0.7953190805532242,0.14739488101656326,1.0417682575336937,0.2434604472087275,0.615118651382701,0.127177743344671,1.0386635636884445,0.3953791503265758,0.457307247933142,2.4974322035331324,1.7885908464123674,1.18354958928723,0.760680699364383,SCalifornia,2010,Early
A,20%,396,0.7895870724009157,0.17934121407641976,1.134729558670815,0.3067333296376348,0.646015171638922,0.176335505295912,1.1276829013579226,0.352677832961915,0.468296736648123,2.8610730666434625,1.8242165110072674,1.1863394789145425,0.7635466868201842,SCalifornia,2010,Early
A,20%,408,0.7941875313225828,0.1691175053266765,1.1156693701314082,0.283015644042787,0.638231022115991,0.1549744931613255,1.1104539107370703,0.363812132410894,0.46703244118188475,2.670535282532895,1.79577736750135,1.20248827986863,0.7644050844778075,SCalifornia,2010,Early
A,40%,108,0.7334671553943228,0.2632098298502525,1.0174793577414794,0.5435005272538608,0.6257235912906488,0.43130097354736874,0.9413968466496887,0.301238936290251,0.4355183536423235,4.4788378138480045,2.0737477196635927,3.056075526883135,0.7775771068993514,SCalifornia,2010,Early
A,40%,120,0.7460568295404915,0.2292892223841305,0.939119254385442,0.4738743477967035,0.6233717758745976,0.36654575079089946,0.9280711212720072,0.335398767800345,0.435412642548607,4.06207236136798,1.8789295002599675,2.2624606326193124,0.7531460492516482,SCalifornia,2010,Early
A,40%,132,0.758727032570327,0.16872649441120174,0.8921757070839867,0.3327142350283042,0.6040511726655056,0.22911813840418677,0.903808095885772,0.3942989670568275,0.4369152136629515,3.4240878433338446,1.7141396297647926,1.395605638763043,0.7314105119863032,SCalifornia,2010,Early
A,40%,144,0.7668688087666993,0.1452445546636375,1.0472606138786356,0.26713954342774326,0.6215626064233668,0.16838437864555325,0.9768450696070745,0.3963659676555475,0.458504278978776,3.21588203177107,1.6380533479883725,1.127450390046903,0.722675310894231,SCalifornia,2010,Early
A,40%,156,0.7705526938047688,0.11671216404670512,1.321727526836039,0.2138378278223741,0.6622164892129305,0.1315087815573384,1.0763281642506357,0.3890816661288855,0.4942566621512802,3.4083598499771126,1.677023293928285,1.1265386632718537,0.7260473917798285,SCalifornia,2010,Early
A,40%,168,0.7708128372462533,0.14521575286077198,1.0515949386110188,0.267391103113381,0.6244156425186196,0.168829724071907,0.9844818168829603,0.395915162382777,0.45886763853242873,3.1950476450681453,1.6715860999923775,1.0951652702492993,0.7268438545234552,SCalifornia,2010,Early
A,40%,180,0.7736544483393177,0.13355174540109324,0.8301362639799382,0.24042012544867875,0.5760249347054822,0.14365490491867036,0.8553760871999755,0.4397662110575675,0.42669186952938554,2.7778395801727074,1.669854239169485,1.0455687265668723,0.7269324294310128,SCalifornia,2010,Early
A,40%,192,0.7690699675229911,0.14962532704002976,1.0590571607229833,0.26516449261511577,0.6142865242833291,0.15877019766724135,1.0141486957534833,0.3931079390513955,0.4572333422794135,2.9101443303732797,1.6256687830315375,0.99153633647131445,0.7241195582794175,SCalifornia,2010,Early
A,40%,204,0.7557800791020483,0.16049710596581832,1.6267347571775788,0.297326034002315,0.6846486915965295,0.19605709709546554,1.2914894802286678,0.3155278818914335,0.523678949339471,3.5023009023819975,1.7110281783191525,0.9824266399923667,0.7323436816031985,SCalifornia,2010,Early
A,40%,216,0.7551597293719265,0.1442448746433717,1.8457615630206363,0.2730942534440162,0.6982224306571078,0.18568249759222835,1.3537304663875935,0.30778710426205874,0.5475466114305503,3.6451134245205252,1.797108385109955,0.9763238806482057,0.7402177740404418,SCalifornia,2010,Early
A,40%,228,0.7780850630465885,0.125434038322454,1.1513372224370786,0.21922481415305226,0.609141983768583,0.1255778889459701,1.0041200929778957,0.4085428769098035,0.4658821435726795,2.8291917682936,1.7086777030025175,0.9196658030867022,0.7328178182190073,SCalifornia,2010,Early
A,40%,240,0.781416261397237,0.1359110876192395,1.0164358276441747,0.232904702794108,0.6078349353669975,0.128589945252996,1.0040012698388892,0.4074311342360015,0.45649885771329074,2.7050288419706927,1.6213698785967576,0.8766084595467832,0.7276875115112352,SCalifornia,2010,Early
A,40%,252,0.7793908458458253,0.10361402080315958,1.16234261922736,0.17308693449264165,0.612219778377726,0.09022783497345785,1.0806451473387224,0.4158717180347252,0.480449957729437,2.507171797830095,1.6362457238006225,0.8547766514087792,0.7310209841523048,SCalifornia,2010,Early
A,40%,264,0.779575492060824,0.10671180620211407,0.997066629549509,0.17765186101461425,0.5923227498997995,0.09087506973664422,0.9678724419701821,0.4387180083303645,0.454636597938873,2.48911929493387,1.6301477768647876,0.842892772923307,0.7309821003158188,SCalifornia,2010,Early
A,40%,276,0.7826615308082495,0.1133607556511245,0.89631821063761,0.18794332915518375,0.5780019658387475,0.095888299257456,0.8978088052411722,0.45038150431742796,0.43662729821971874,2.4842200788301576,1.6418863772127401,0.847887448136647,0.731809604984628,SCalifornia,2010,Early
A,40%,288,0.783520097936866,0.13357523466702875,1.0026697081732583,0.22580108334677726,0.612806785300538,0.12101751066927251,1.0029834624708525,0.410015552764738,0.45669509141493875,2.7538398715416226,1.60004805824876,0.8407745105333533,0.7307761665122612,SCalifornia,2010,Early
A,40%,300,0.784936100997412,0.122774242039978,0.9453771302906205,0.20324833197643,0.5928285573670482,0.10347796006763472,0.9439604285980905,0.4318273794441495,0.4454399854258875,2.55808338707546,1.6277623615830374,0.848134310223646,0.7342039883979781,SCalifornia,2010,Early
A,40%,312,0.782652660377794,0.13136626040949,1.051948362542815,0.22278271834788374,0.6260386152719377,0.1192611178522162,1.0481576801740975,0.40140208591444526,0.46718070720278726,2.8526058688638676,1.5910488991529124,0.839447232781374,0.732820046050427,SCalifornia,2010,Early
A,40%,324,0.7845882630434204,0.12183389349549226,1.0149370645685865,0.20442354379928251,0.6135953866156475,0.10636547067242515,1.012257765787976,0.416733825455333,0.4613452576575065,2.72605116838947,1.62130652765484,0.8607115567253687,0.7370780665226883,SCalifornia,2010,Early
A,40%,336,0.7816289089259083,0.1295984502804535,1.072644173617015,0.22189296639416026,0.6326377221634703,0.11945089440525375,1.0694626989079374,0.3979195021847475,0.4723930415028315,2.9344648970082448,1.6145700478823324,0.8495530423292688,0.7372716590387878,SCalifornia,2010,Early
